code;id;state;region;province;location;station;dataset;filename;frequency;longitude;latitude;elevation
ASN00003040;;;;;;CAMBALLIN;ghcnd;ASN00003040;01d;124.1922;-17.9903;45.0
ASN00003041;;;;;;KILTO STATION;ghcnd;ASN00003041;01d;122.7128;-17.6925;60.0
ASN00003042;;;;;;TALGARNO;ghcnd;ASN00003042;01d;121.5000;-19.2833;3.0
ASN00003043;;;;;;CHRISTMAS CREEK;ghcnd;ASN00003043;01d;125.9206;-18.8789;160.0
ASN00003044;;;;;;BROOKING SPRINGS;ghcnd;ASN00003044;01d;125.6431;-18.1103;110.0
ASN00003045;;;;;;CALANGADIE;ghcnd;ASN00003045;01d;121.5000;-19.1000;-999.9
ASN00003046;;;;;;CHERRABUN;ghcnd;ASN00003046;01d;125.3333;-18.4833;91.0
ASN00003047;;;;;;DAMPIER DOWNS;ghcnd;ASN00003047;01d;123.1000;-18.4000;-999.9
ASN00003048;;;;;;CHERRABUN;ghcnd;ASN00003048;01d;125.5264;-18.9158;151.0
ASN00003049;;;;;;ISADELL DOWNS;ghcnd;ASN00003049;01d;125.7000;-16.9000;-999.9
ASN00003050;;;;;;LIVERINGA LOWER;ghcnd;ASN00003050;01d;124.1667;-17.9500;-999.9
ASN00003051;;;;;;MOUNT BARNETT;ghcnd;ASN00003051;01d;125.9086;-16.7372;401.0
ASN00003052;;;;;;MOUNT HART STATION;ghcnd;ASN00003052;01d;124.9158;-16.8206;190.0
ASN00003053;;;;;;OBAGAMA;ghcnd;ASN00003053;01d;123.9833;-16.7000;-999.9
ASN00003054;;;;;;POINT TORMENT;ghcnd;ASN00003054;01d;123.7000;-17.1000;-999.9
ASN00003055;;;;;;ROLLAH;ghcnd;ASN00003055;01d;121.7500;-18.7000;-999.9
ASN00003056;;;;;;THANGOO;ghcnd;ASN00003056;01d;122.3583;-18.1792;5.0
ASN00003057;;;;;;CYGNET BAY;ghcnd;ASN00003057;01d;123.0086;-16.4514;7.0
ASN00003058;;;;;;MILLAJIDDIE;ghcnd;ASN00003058;01d;124.9500;-18.8333;60.0
ASN00003059;;;;;;NITA DOWNS;ghcnd;ASN00003059;01d;121.6764;-19.0861;31.0
ASN00003060;;;;;;ARDJORIE;ghcnd;ASN00003060;01d;123.6833;-18.7667;152.0
ASN00003061;;;;;;KIMBOLTON RANGE STATION 1;ghcnd;ASN00003061;01d;123.8625;-16.6950;250.0
